queen_id,name,signature_tenet,favorite_brand,signature_ability_name,signature_ability_text,special_appeal_name,special_appeal_text,ip_marker,source_doc
Q-01,Lady Lux,Yellow,Trash Can,Treasure from Trash,"Once per Round, immediately after you trash your third card that Round, gain 2 Gross SP and draw 1 card.",Trash to Treasure,"Once per game during Transformation, return up to 2 eligible cards from your Personal Trash to your hand. Gain 1 Tip for each returned Yellow card.",,docs/QUEEN_ROSTER.md
Q-02,Kawaii-Bot,Pink,Sugar Rush,Idol Perfect,"Once per Round when you reveal a Matching Look, gain 1 Gross SP and draw 1 card.",Idol Overdrive,"Once per game during The Reveal, if you have a Matching Pink Look, improve the Reveal result for this turn: a normal Matching ×2 becomes ×3. If you already have Perfect Illusion, gain +3 Appeal instead.",,docs/QUEEN_ROSTER.md
Q-03,Mother Mortis,Blue,Necropolis,From the Grave,"Once during Transformation, play/equip one eligible non-Penalty card from your Backstage Archive as though it were in your hand.",Raise the Dead,"Once per game during Transformation, equip one eligible Fashion card from your Backstage Archive as though it were in your hand. Resolve its Play ability normally and ignore any additional effect cost specifically required to equip that card.",,docs/QUEEN_ROSTER.md
Q-04,Opulencia,Purple,Gilded Cage,More Is More,"After Tip Count, if your printed cards generated at least 1 Tip, gain 1 additional Tip. Whenever another effect causes you to gain one or more Tips, gain 1 additional Tip. This bonus cannot trigger itself.",No Budget No Problem,"Once per game during Shopping, reduce the cost of one Wardrobe purchase by 4 Tips, minimum 0. If the purchased card is Gilded Cage, draw 1 card afterward. Because this draw happens after Tip Count, the drawn card's printed Tips are not counted this turn.",,docs/QUEEN_ROSTER.md
Q-05,Velvet Venom,Blue,Necropolis,Toxic Entrance,"When you equip a Necropolis Body as Master, choose an opponent; they discard 1 card from hand to their Backstage Archive if able.",Death Drop,"Once per game when an opponent targets you with a hostile effect, cancel that effect. That opponent then loses 1 Tip, minimum 0.",,docs/QUEEN_ROSTER.md
Q-06,Maldita Manila,None,Multi-Brand / Fusion,Duality,"Once per turn when you reveal a Complete Coordinate containing at least two non-Neutral Tenets, gain 2 Tips.",Dual Crown,"Once per game during The Reveal, choose two non-Neutral Tenets represented in your Coordinate. For this Reveal, effects that check your Look's Tenet may treat it as either chosen Tenet. This does not satisfy a named Brand requirement by itself.",,docs/QUEEN_ROSTER.md
Q-07,Hexa Laroux,Purple,Gilded Cage,Perfect Geometry,"Whenever you gain Gross SP, gain that many Tips. Once per turn during The Reveal, if you have an Accessory equipped, gain 1 Gross SP.",Perfect Geometry,"Once per game during The Reveal, if all four core slots are occupied, choose one Master and one other Master. Add the first Master's printed Appeal to the second Master's contribution for this Reveal only.",,docs/QUEEN_ROSTER.md
Q-08,Bubblegum Banshee,Pink,Sugar Rush,Sugar High,"When you equip Sugar Rush Shoes as Master, draw 1 card.",Sugar Rush Encore,"Once per game during Shopping, draw 3 cards, keep 1 in hand, and archive the other 2. If the kept card is Pink, gain 1 Tip before Shopping ends.",,docs/QUEEN_ROSTER.md
Q-09,Siren Diesel,Yellow,Trash Can,Built to Walk,"When you equip Shoes as Master, gain 1 Tip.",Full Throttle,"Once per game when you enter Dragdagulan†, each of your three battle-drawn cards gains +1 LS for that battle.",†,docs/QUEEN_ROSTER.md
Q-10,Opal Dynasty,Purple,Velvet Trap,Full Spectrum,"Once per Round when you reveal a Complete Coordinate, gain 2 Gross SP.",Full Spectrum,"Once per game during The Reveal, choose one Master and treat it as Wild for this Reveal. Assign it one active non-Neutral Tenet under the normal Wild rules.",,docs/QUEEN_ROSTER.md
Q-11,Rapture Royale,Purple,Velvet Trap,Sacrifice,"Once during Transformation, trash 1 eligible card from your hand; if you do, gain 1 Gross SP.",Divine Sacrifice,"Once per game during Transformation, trash up to 2 eligible cards from your hand. Gain 2 Tips and 1 Appeal for each card trashed this way.",,docs/QUEEN_ROSTER.md
Q-12,Gore-Jess,Blue,Slasher,Final Girl,"Once per Round after you win Dragdagulan†, gain 1 Gross SP. If you won by 3 or more Battle Score, gain 2 Gross SP instead.",Final Girl Frenzy,"Once per game after you win Dragdagulan†, you may take 2 Gross SP instead of the normal winner reward. If you won by 5 or more Battle Score, take 3 Gross SP instead. Her normal Final Girl Signature Ability still resolves if its condition was met.",†,docs/QUEEN_ROSTER.md
