stage_id,stage_name,subtitle,favored_tenet,featured_brand,slay_target,reward_gross_sp,judge,venue_effect,spotlight_requirement,judge_favor,brand_ovation,source_version,source_asset,status
STG-01,Grand Ballroom,Opulent Dance Hall,Purple,Gilded Cage,12,3,Baroness Belladonna,Your Accessory gains +1 Appeal during the Reveal.,Slay with an Accessory equipped.,+1 Gross SP,+2 Gross SP with a 4-piece Featured Brand Coordinate.,v7.8,STAGE_01_Grand_Ballroom.jpg,verified_for_v7.9
STG-02,Neon Nightclub,After-Hours Club,Pink,Hyper-Glitch,11,3,DJ Dollface,Your Hyper-Glitch Shoes Master gains +1 Appeal.,Slay with a Pink Shoes Master.,+1 Gross SP,+2 Gross SP with a 4-piece Featured Brand Coordinate.,v7.8,STAGE_02_Neon_Nightclub.jpg,verified_for_v7.9
STG-03,Haunted Hotel,Cursed Luxury Suite,Blue,Necropolis,11,3,Madame Mourning,"Once per Reveal, one Blue Master may count as Wild for this Reveal.",Slay with a Blue Body or Wig Master.,+1 Gross SP,+2 Gross SP with a 4-piece Featured Brand Coordinate.,v7.8,STAGE_03_Haunted_Hotel.jpg,verified_for_v7.9
STG-04,Botanical Conservatory,Glasshouse Eleganza,Yellow,Swamp Witch,10,2,Flora Fatal,Each Yellow Master in your Look gains +1 Appeal.,Slay with a Swamp Witch Master.,+1 Gross SP,+2 Gross SP with a 4-piece Featured Brand Coordinate.,v7.8,STAGE_04_Botanical_Conservatory.jpg,verified_for_v7.9
STG-05,Thrift Superstore,Discount Runway,Yellow,Trash Can,10,2,Bargain Belle,Each Thrift or Neutral card in your Look gains +1 Appeal.,Slay with at least 1 Thrift Store card equipped.,+1 Gross SP,+2 Gross SP with a 4-piece Featured Brand Coordinate.,v7.8,STAGE_05_Thrift_Superstore.jpg,verified_for_v7.9
STG-06,Gothic Cathedral,Sacred Excess,Blue,Void,12,3,Sister Sin,"If your Body Master is Blue, it gains +2 Appeal.",Slay with a Blue Body Master.,+1 Gross SP,+2 Gross SP with a 4-piece Featured Brand Coordinate.,v7.8,STAGE_06_Gothic_Cathedral.jpg,verified_for_v7.9
STG-07,Opera House,Grand Diva Stage,Purple,Velvet Trap,12,3,Diva D'Amore,"Choose one Face or Wig Master; it gains +2 Appeal this Reveal.",Slay with a Velvet Trap Face or Wig Master.,+1 Gross SP,+2 Gross SP with a 4-piece Featured Brand Coordinate.,v7.8,STAGE_07_Opera_House.jpg,verified_for_v7.9
STG-08,Underground Leather Bar,After-Dark Lounge,Blue,Slasher,13,3,Rexx Noir,"If you choose Dragdagulan† here, your battle-drawn cards gain +1 LS each.",Slay with at least 2 Slasher Masters.,+1 Gross SP,+2 Gross SP with a 4-piece Featured Brand Coordinate.,v7.8,STAGE_08_Underground_Leather_Bar.jpg,verified_for_v7.9
STG-09,Candy Kingdom Pavilion,Sugar Palace,Pink,Sugar Rush,10,2,Candy Cain,Each Sugar Rush Master produces +1 Tip during the Reveal.,Slay with at least 2 Sugar Rush Masters.,+1 Gross SP,+2 Gross SP with a 4-piece Featured Brand Coordinate.,v7.8,STAGE_09_Candy_Kingdom_Pavilion.jpg,verified_for_v7.9
STG-10,Seaside Boardwalk Stage,Summer Freakshow,Yellow,Big Top,11,3,Madame Midway,Each Big Top Master in your Look gains +1 Appeal.,Slay with a Big Top Face or Wig Master.,+1 Gross SP,+2 Gross SP with a 4-piece Featured Brand Coordinate.,v7.8,STAGE_10_Seaside_Boardwalk_Stage.jpg,verified_for_v7.9
STG-11,Couture House Runway,Fashion Week Venue,Purple,Gilded Cage,14,4,Editor Vex,Each Gilded Cage Master gains +1 Appeal during the Reveal.,Slay with all four core slots occupied by non-Neutral Masters.,+1 Gross SP,+2 Gross SP with a 4-piece Featured Brand Coordinate.,v7.8,STAGE_11_Couture_House_Runway.jpg,verified_for_v7.9
STG-12,Blacklight Arcade,Pixel Dance Floor,Pink,Hyper-Glitch,12,3,Pixel Papi,"In Dragdagulan†, each Hyper-Glitch battle card gains +1 LS.",Slay with at least 2 Hyper-Glitch Masters.,+1 Gross SP,+2 Gross SP with a 4-piece Featured Brand Coordinate.,v7.8,STAGE_12_Blacklight_Arcade.jpg,verified_for_v7.9
